tab	samples
sample	site	height	geologic_classes	geologic_types	lithologies	azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	dip	citations	method_codes	result_quality	result_type
NED23-2	NED23	0	Intrusive	Diabase		232.3	0.0	0	90.0	-36	This study	SO-CMD-NORTH	g	i
NED23-3	NED23	0	Intrusive	Diabase		247.9	0.0	0	90.0	-34	This study	SO-CMD-NORTH	g	i
NED23-4	NED23	0	Intrusive	Diabase		237.8	0.0	0	90.0	-39	This study	SO-CMD-NORTH	g	i
NED23-5	NED23	0	Intrusive	Diabase		229.8	0.0	0	90.0	-35	This study	SO-CMD-NORTH	g	i
NED23-6	NED23	0	Intrusive	Diabase		235.8	0.0	0	90.0	-33	This study	SO-CMD-NORTH	g	i
NED23-8	NED23	0	Intrusive	Diabase		233.3	0.0	0	90.0	-29	This study	SO-CMD-NORTH	g	i
NED8-1	NED8	0	Intrusive	Diabase		276.9	0.0	0	90.9	-88	This study	SO-CMD-NORTH	g	i
NED8-2	NED8	0	Intrusive	Diabase		284.9	0.0	0	90.9	-88	This study	SO-CMD-NORTH	g	i
NED8-3	NED8	0	Intrusive	Diabase		283.9	0.0	0	90.9	-91	This study	SO-CMD-NORTH	g	i
NED8-4	NED8	0	Intrusive	Diabase		284.9	0.0	0	90.9	-79	This study	SO-CMD-NORTH	g	i
NED8-5	NED8	0	Intrusive	Diabase		280.9	0.0	0	90.9	-80	This study	SO-CMD-NORTH	g	i
NED8-6	NED8	0	Intrusive	Diabase		289.9	0.0	0	90.9	-85	This study	SO-CMD-NORTH	g	i
NED8-7	NED8	0	Intrusive	Diabase		294.9	0.0	0	90.9	-65	This study	SO-CMD-NORTH	g	i
NED8-8	NED8	0	Intrusive	Diabase		290.9	0.0	0	90.9	-66	This study	SO-CMD-NORTH	g	i
NED24-1	NED24	0	Intrusive	Diabase		275.4	0.0	0	90.0	-5	This study	SO-CMD-NORTH	g	i
NED24-3	NED24	0	Intrusive	Diabase		295.6	0.0	0	90.0	-3	This study	SO-CMD-NORTH	g	i
NED12-1	NED12	0	Intrusive	Diabase		267.5	0.0	0	90.9	-24	This study	SO-CMD-NORTH	g	i
NED12-2	NED12	0	Intrusive	Diabase		48.1	0.0	0	90.9	-40	This study	SO-CMD-NORTH	g	i
NED12-3	NED12	0	Intrusive	Diabase		68.1	0.0	0	90.9	-40	This study	SO-CMD-NORTH	g	i
NED12-4	NED12	0	Intrusive	Diabase		45.1	0.0	0	90.9	-36	This study	SO-CMD-NORTH	g	i
NED12-5	NED12	0	Intrusive	Diabase		278.1	0.0	0	90.9	-14	This study	SO-CMD-NORTH	g	i
NED12-6	NED12	0	Intrusive	Diabase		278.1	0.0	0	90.9	-15	This study	SO-CMD-NORTH	g	i
NED12-7	NED12	0	Intrusive	Diabase		263.6	0.0	0	90.9	-19	This study	SO-CMD-NORTH	g	i
NED12-8	NED12	0	Intrusive	Diabase		271.0	0.0	0	90.9	-21	This study	SO-CMD-NORTH	g	i
NED15-1	NED15	0	Intrusive	Diabase		172.9	0.0	0	90.9	-22	This study	SO-CMD-NORTH	g	i
NED15-2	NED15	0	Intrusive	Diabase		186.9	0.0	0	90.9	-14	This study	SO-CMD-NORTH	g	i
NED15-3	NED15	0	Intrusive	Diabase		201.9	0.0	0	90.9	-14	This study	SO-CMD-NORTH	g	i
NED15-4	NED15	0	Intrusive	Diabase		196.9	0.0	0	90.9	-15	This study	SO-CMD-NORTH	g	i
NED15-5	NED15	0	Intrusive	Diabase		190.9	0.0	0	90.9	-11	This study	SO-CMD-NORTH	g	i
NED15-6	NED15	0	Intrusive	Diabase		78.9	0.0	0	90.9	-26	This study	SO-CMD-NORTH	g	i
NED15-7	NED15	0	Intrusive	Diabase		71.9	0.0	0	90.9	-30	This study	SO-CMD-NORTH	g	i
NED15-8	NED15	0	Intrusive	Diabase		72.9	0.0	0	90.9	-31	This study	SO-CMD-NORTH	g	i
NED15-9	NED15	0	Intrusive	Diabase		114.9	0.0	0	90.9	-12	This study	SO-CMD-NORTH	g	i
NED25-1	NED25	0	Intrusive	Diabase		65.8	0.0	0	90.0	-12	This study	SO-CMD-NORTH	g	i
NED25-2	NED25	0	Intrusive	Diabase		64.8	0.0	0	90.0	-14	This study	SO-CMD-NORTH	g	i
NED25-3	NED25	0	Intrusive	Diabase		129.5	0.0	0	90.0	-8	This study	SO-CMD-NORTH	g	i
NED25-4	NED25	0	Intrusive	Diabase		204.8	0.0	0	90.0	-1	This study	SO-CMD-NORTH	g	i
NED25-5	NED25	0	Intrusive	Diabase		132.8	0.0	0	90.0	-3	This study	SO-CMD-NORTH	g	i
NED25-6	NED25	0	Intrusive	Diabase		128.0	0.0	0	90.0	-8	This study	SO-CMD-NORTH	g	i
NED25-7	NED25	0	Intrusive	Diabase		162.8	0.0	0	90.0	-9	This study	SO-CMD-NORTH	g	i
NED25-8	NED25	0	Intrusive	Diabase		152.8	0.0	0	90.0	-12	This study	SO-CMD-NORTH	g	i
NED22-3	NED22	0	Intrusive	Diabase		282.8	0.0	0	90.0	-78	This study	SO-CMD-NORTH	g	i
NED22-4	NED22	0	Intrusive	Diabase		292.8	0.0	0	90.0	-54	This study	SO-CMD-NORTH	g	i
NED22-5	NED22	0	Intrusive	Diabase		290.8	0.0	0	90.0	-72	This study	SO-CMD-NORTH	g	i
NED22-6	NED22	0	Intrusive	Diabase		356.8	0.0	0	90.0	-32	This study	SO-CMD-NORTH	g	i
NED9-1	NED9	0	Intrusive	Diabase		338.9	0.0	0	90.9	-56	This study	SO-CMD-NORTH	g	i
NED9-2	NED9	0	Intrusive	Diabase		348.9	0.0	0	90.9	-43	This study	SO-CMD-NORTH	g	i
NED9-3	NED9	0	Intrusive	Diabase		344.9	0.0	0	90.9	-52	This study	SO-CMD-NORTH	g	i
NED9-4	NED9	0	Intrusive	Diabase		342.9	0.0	0	90.9	-47	This study	SO-CMD-NORTH	g	i
NED9-5	NED9	0	Intrusive	Diabase		24.9	0.0	0	90.9	-49	This study	SO-CMD-NORTH	g	i
NED9-6	NED9	0	Intrusive	Diabase		23.9	0.0	0	90.9	-61	This study	SO-CMD-NORTH	g	i
NED9-7	NED9	0	Intrusive	Diabase		75.9	0.0	0	90.9	-50	This study	SO-CMD-NORTH	g	i
NED9-8	NED9	0	Intrusive	Diabase		75.9	0.0	0	90.9	-44	This study	SO-CMD-NORTH	g	i
NED30-1	NED30	0	Intrusive	Diabase		243.6	0.0	0	90.0	-7	This study	SO-CMD-NORTH	g	i
NED30-2	NED30	0	Intrusive	Diabase		231.8	0.0	0	90.0	-10	This study	SO-CMD-NORTH	g	i
NED30-3	NED30	0	Intrusive	Diabase		253.8	0.0	0	90.0	-7	This study	SO-CMD-NORTH	g	i
NED30-4	NED30	0	Intrusive	Diabase		278.8	0.0	0	90.0	-6	This study	SO-CMD-NORTH	g	i
NED30-5	NED30	0	Intrusive	Diabase		267.8	0.0	0	90.0	-10	This study	SO-CMD-NORTH	g	i
NED30-6	NED30	0	Intrusive	Diabase		255.8	0.0	0	90.0	-9	This study	SO-CMD-NORTH	g	i
NED30-7	NED30	0	Intrusive	Diabase		285.8	0.0	0	90.0	-7	This study	SO-CMD-NORTH	g	i
NED30-8	NED30	0	Intrusive	Diabase		227.8	0.0	0	90.0	-11	This study	SO-CMD-NORTH	g	i
NED30-9	NED30	0	Intrusive	Diabase		241.8	0.0	0	90.0	-7	This study	SO-CMD-NORTH	g	i
NED14-1	NED14	0	Intrusive	Diabase		341.9	0.0	0	90.9	-39	This study	SO-CMD-NORTH	g	i
NED14-2	NED14	0	Intrusive	Diabase		324.9	0.0	0	90.9	-50	This study	SO-CMD-NORTH	g	i
NED14-3	NED14	0	Intrusive	Diabase		325.9	0.0	0	90.9	-6	This study	SO-CMD-NORTH	g	i
NED14-4	NED14	0	Intrusive	Diabase		273.9	0.0	0	90.9	-4	This study	SO-CMD-NORTH	g	i
NED14-5	NED14	0	Intrusive	Diabase		319.9	0.0	0	90.9	-32	This study	SO-CMD-NORTH	g	i
NED14-6	NED14	0	Intrusive	Diabase		292.9	0.0	0	90.9	-14	This study	SO-CMD-NORTH	g	i
NED14-7	NED14	0	Intrusive	Diabase		336.9	0.0	0	90.9	-47	This study	SO-CMD-NORTH	g	i
NED14-8	NED14	0	Intrusive	Diabase		342.9	0.0	0	90.9	-50	This study	SO-CMD-NORTH	g	i
NED14-9	NED14	0	Intrusive	Diabase		327.9	0.0	0	90.9	-54	This study	SO-CMD-NORTH	g	i
NED13-1	NED13	0	Intrusive	Diabase		338.9	0.0	0	90.9	-12	This study	SO-CMD-NORTH	g	i
NED13-2	NED13	0	Intrusive	Diabase		329.9	0.0	0	90.9	-14	This study	SO-CMD-NORTH	g	i
NED13-3	NED13	0	Intrusive	Diabase		275.9	0.0	0	90.9	-39	This study	SO-CMD-NORTH	g	i
NED13-4	NED13	0	Intrusive	Diabase		312.9	0.0	0	90.9	-19	This study	SO-CMD-NORTH	g	i
NED13-5	NED13	0	Intrusive	Diabase		312.9	0.0	0	90.9	-17	This study	SO-CMD-NORTH	g	i
NED13-6	NED13	0	Intrusive	Diabase		286.9	0.0	0	90.9	-11	This study	SO-CMD-NORTH	g	i
NED13-7	NED13	0	Intrusive	Diabase		274.9	0.0	0	90.9	-13	This study	SO-CMD-NORTH	g	i
NED13-8	NED13	0	Intrusive	Diabase		279.1	0.0	0	90.9	-16	This study	SO-CMD-NORTH	g	i
