tab	locations
location	age	age_sigma	age_unit	lat_n	lat_s	lon_e	lon_w	geologic_classes	lithologies	location_type	citations
ECMB	1779	3	Ma	45.53728	45.51387	265.76964	265.7369	Intrusive	Diabase	Region	This study
>>>>>>>>>>
tab	measurements
measurement	experiment	specimen	dir_csd	dir_dec	dir_inc	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp	citations	instrument_codes	method_codes	quality	sequence	standard	meas_n_orient	meas_temp	software_packages	magn_moment	magn_x_sigma	magn_y_sigma	magn_z_sigma
NWD1-2b_LP-DIR-AF6	NWD1-2b_LP-DIR-AF	NWD1-2b	7.1	297.7	-35.7	0.0075	0	0	0	6	273	This study	hargrave 2018-10-06 10:45:15	LT-AF-Z:LP-DIR-AF	g	2578	u	4	273	pmagpy-4.2.17	0.000207	1.55e-05	2.11e-05	1.14e-05
NWD1-2b_LP-DIR-AF7	NWD1-2b_LP-DIR-AF	NWD1-2b	6.6	297.5	-39.9	0.01	0	0	0	7	273	This study	hargrave 2018-10-06 10:46:36	LT-AF-Z:LP-DIR-AF	g	2579	u	4	273	pmagpy-4.2.17	0.000206	1.47e-05	2.13e-05	7.08e-06
NWD1-2b_LP-DIR-AF8	NWD1-2b_LP-DIR-AF	NWD1-2b	4	298.8	-42.7	0.0125	0	0	0	8	273	This study	hargrave 2018-10-06 10:47:56	LT-AF-Z:LP-DIR-AF	g	2580	u	4	273	pmagpy-4.2.17	0.000184	7.29e-06	1.19e-05	4.87e-06
NWD1-2b_LP-DIR-AF9	NWD1-2b_LP-DIR-AF	NWD1-2b	5.6	301.4	-42.8	0.015	0	0	0	9	273	This study	hargrave 2018-10-06 10:49:17	LT-AF-Z:LP-DIR-AF	g	2581	u	4	273	pmagpy-4.2.17	0.000162	1.15e-05	1.33e-05	3.38e-06
NWD1-2b_LP-DIR-AF10	NWD1-2b_LP-DIR-AF	NWD1-2b	3	297.7	-46.1	0.0175	0	0	0	10	273	This study	hargrave 2018-10-06 10:50:38	LT-AF-Z:LP-DIR-AF	g	2582	u	4	273	pmagpy-4.2.17	0.000125	4.6e-06	5.97e-06	2.6e-06
NWD1-2b_LP-DIR-AF11	NWD1-2b_LP-DIR-AF	NWD1-2b	6.2	298.7	-43.4	0.02	0	0	0	11	273	This study	hargrave 2018-10-06 10:51:59	LT-AF-Z:LP-DIR-AF	g	2583	u	4	273	pmagpy-4.2.17	9.66e-05	7.95e-06	7.63e-06	1.46e-06
NWD1-2b_LP-DIR-AF12	NWD1-2b_LP-DIR-AF	NWD1-2b	3.5	301.7	-38.7	0.0225	0	0	0	12	273	This study	hargrave 2018-10-06 10:53:20	LT-AF-Z:LP-DIR-AF	g	2584	u	4	273	pmagpy-4.2.17	7.79e-05	2.16e-06	5.39e-06	1.07e-06
NWD1-2b_LP-DIR-AF13	NWD1-2b_LP-DIR-AF	NWD1-2b	2.4	301.2	-45.3	0.025	0	0	0	13	273	This study	hargrave 2018-10-06 10:54:41	LT-AF-Z:LP-DIR-AF	g	2585	u	4	273	pmagpy-4.2.17	6.15e-05	1.77e-06	1.61e-06	2.13e-06
NWD1-2b_LP-DIR-AF14	NWD1-2b_LP-DIR-AF	NWD1-2b	2	301.1	-49	0.0275	0	0	0	14	273	This study	hargrave 2018-10-06 10:56:02	LT-AF-Z:LP-DIR-AF	g	2586	u	4	273	pmagpy-4.2.17	4.54e-05	1.14e-06	1.01e-06	4.66e-07
NWD1-2b_LP-DIR-AF15	NWD1-2b_LP-DIR-AF	NWD1-2b	2	301.1	-48.7	0.03	0	0	0	15	273	This study	hargrave 2018-10-06 10:57:27	LT-AF-Z:LP-DIR-AF	g	2587	u	4	273	pmagpy-4.2.17	3.3e-05	8.690000000000002e-07	7.790000000000002e-07	3.44e-07
NWD1-2b_LP-DIR-AF16	NWD1-2b_LP-DIR-AF	NWD1-2b	2.3	301.0	-47.9	0.035	0	0	0	16	273	This study	hargrave 2018-10-06 10:58:48	LT-AF-Z:LP-DIR-AF	g	2588	u	4	273	pmagpy-4.2.17	2.09e-05	6.25e-07	5.560000000000001e-07	2.01e-07
NWD1-2b_LP-DIR-AF17	NWD1-2b_LP-DIR-AF	NWD1-2b	2.4	301.0	-47.1	0.04	0	0	0	17	273	This study	hargrave 2018-10-06 11:00:13	LT-AF-Z:LP-DIR-AF	g	2589	u	4	273	pmagpy-4.2.17	1.53e-05	5.17e-07	4.4e-07	1.42e-07
NWD1-2b_LP-DIR-AF18	NWD1-2b_LP-DIR-AF	NWD1-2b	2.5	301.5	-46.4	0.045	0	0	0	18	273	This study	hargrave 2018-10-06 11:01:37	LT-AF-Z:LP-DIR-AF	g	2590	u	4	273	pmagpy-4.2.17	1.22e-05	4.1e-07	3.86e-07	1.08e-07
NWD1-2b_LP-DIR-AF19	NWD1-2b_LP-DIR-AF	NWD1-2b	2.6	302.0	-45.8	0.05	0	0	0	19	273	This study	hargrave 2018-10-06 11:02:58	LT-AF-Z:LP-DIR-AF	g	2591	u	4	273	pmagpy-4.2.17	1.02e-05	3.7e-07	3.37e-07	8.76e-08
NWD1-2b_LP-DIR-AF20	NWD1-2b_LP-DIR-AF	NWD1-2b	2.7	302.6	-45.4	0.055	0	0	0	20	273	This study	hargrave 2018-10-06 11:04:19	LT-AF-Z:LP-DIR-AF	g	2592	u	4	273	pmagpy-4.2.17	8.97e-06	3.28e-07	3.09e-07	7.47e-08
NWD1-2b_LP-DIR-AF21	NWD1-2b_LP-DIR-AF	NWD1-2b	2.7	303.0	-45	0.06	0	0	0	21	273	This study	hargrave 2018-10-06 11:05:44	LT-AF-Z:LP-DIR-AF	g	2593	u	4	273	pmagpy-4.2.17	7.99e-06	3e-07	2.79e-07	6.52e-08
NWD1-2b_LP-DIR-AF22	NWD1-2b_LP-DIR-AF	NWD1-2b	2.7	303.9	-45.1	0.065	0	0	0	22	273	This study	hargrave 2018-10-06 11:07:05	LT-AF-Z:LP-DIR-AF	g	2594	u	4	273	pmagpy-4.2.17	7.22e-06	2.65e-07	2.57e-07	5.89e-08
NWD1-2b_LP-DIR-AF23	NWD1-2b_LP-DIR-AF	NWD1-2b	2.8	303.8	-45.3	0.07	0	0	0	23	273	This study	hargrave 2018-10-06 11:08:26	LT-AF-Z:LP-DIR-AF	g	2595	u	4	273	pmagpy-4.2.17	6.56e-06	2.49e-07	2.3e-07	5.29e-08
NWD1-2b_LP-DIR-AF24	NWD1-2b_LP-DIR-AF	NWD1-2b	2.7	304.4	-45	0.075	0	0	0	24	273	This study	hargrave 2018-10-06 11:09:47	LT-AF-Z:LP-DIR-AF	g	2596	u	4	273	pmagpy-4.2.17	5.96e-06	2.26e-07	2.08e-07	4.77e-08
NWD1-2b_LP-DIR-AF25	NWD1-2b_LP-DIR-AF	NWD1-2b	2.7	304.7	-45	0.08	0	0	0	25	273	This study	hargrave 2018-10-06 11:11:11	LT-AF-Z:LP-DIR-AF	g	2597	u	4	273	pmagpy-4.2.17	5.43e-06	2.04e-07	1.9e-07	4.35e-08
NWD1-2b_LP-DIR-AF26	NWD1-2b_LP-DIR-AF	NWD1-2b	2.7	305.9	-45.8	0.09	0	0	0	26	273	This study	hargrave 2018-10-06 11:12:33	LT-AF-Z:LP-DIR-AF	g	2598	u	4	273	pmagpy-4.2.17	4.64e-06	1.72e-07	1.65e-07	3.62e-08
NWD1-2b_LP-DIR-AF27	NWD1-2b_LP-DIR-AF	NWD1-2b	2.7	307.0	-46.3	0.1	0	0	0	27	273	This study	hargrave 2018-10-06 11:13:55	LT-AF-Z:LP-DIR-AF	g	2599	u	4	273	pmagpy-4.2.17	3.86e-06	1.4599999999999998e-07	1.34e-07	2.94e-08
NWD1-2b_LP-DIR-AF28	NWD1-2b_LP-DIR-AF	NWD1-2b	2.7	308.1	-46.5	0.11	0	0	0	28	273	This study	hargrave 2018-10-06 11:15:17	LT-AF-Z:LP-DIR-AF	g	2600	u	4	273	pmagpy-4.2.17	3.27e-06	1.2099999999999998e-07	1.12e-07	2.4300000000000003e-08
NWD1-2b_LP-DIR-AF29	NWD1-2b_LP-DIR-AF	NWD1-2b	2.7	308.9	-47.4	0.12	0	0	0	29	273	This study	hargrave 2018-10-06 11:16:42	LT-AF-Z:LP-DIR-AF	g	2601	u	4	273	pmagpy-4.2.17	2.69e-06	1e-07	9.14e-08	1.95e-08
NWD1-2b_LP-DIR-AF30	NWD1-2b_LP-DIR-AF	NWD1-2b	2.7	311.7	-47.6	0.13	0	0	0	30	273	This study	hargrave 2018-10-06 11:18:07	LT-AF-Z:LP-DIR-AF	g	2602	u	4	273	pmagpy-4.2.17	2.23e-06	8.279999999999999e-08	7.52e-08	1.6e-08
NWD1-3b_LP-DIR-AF0	NWD1-3b_LP-DIR-AF	NWD1-3b	1.5	118.7	-44.7	0	0	0	0	0	273	This study	hargrave 2018-10-06 11:19:39	LT-NO:LP-DIR-AF	g	2603	u	4	273	pmagpy-4.2.17	2.63e-05	5.429999999999999e-07	3.770000000000001e-07	2.37e-07
NWD1-3b_LP-DIR-AF1	NWD1-3b_LP-DIR-AF	NWD1-3b	1.5	118.3	-45	0.001	0	0	0	1	273	This study	hargrave 2018-10-06 11:21:01	LT-AF-Z:LP-DIR-AF	g	2604	u	4	273	pmagpy-4.2.17	2.63e-05	5.079999999999999e-07	3.93e-07	2.53e-07
NWD1-3b_LP-DIR-AF2	NWD1-3b_LP-DIR-AF	NWD1-3b	1.5	118.2	-45.4	0.002	0	0	0	2	273	This study	hargrave 2018-10-06 11:22:23	LT-AF-Z:LP-DIR-AF	g	2605	u	4	273	pmagpy-4.2.17	2.52e-05	4.93e-07	3.82e-07	2.47e-07
NWD1-3b_LP-DIR-AF3	NWD1-3b_LP-DIR-AF	NWD1-3b	1.5	119.6	-45.4	0.003	0	0	0	3	273	This study	hargrave 2018-10-06 11:23:44	LT-AF-Z:LP-DIR-AF	g	2606	u	4	273	pmagpy-4.2.17	2.21e-05	4.32e-07	3.34e-07	2.17e-07
NWD1-3b_LP-DIR-AF4	NWD1-3b_LP-DIR-AF	NWD1-3b	1.6	124.4	-43.6	0.004	0	0	0	4	273	This study	hargrave 2018-10-06 11:26:46	LT-AF-Z:LP-DIR-AF	g	2607	u	4	273	pmagpy-4.2.17	1.64e-05	3.2600000000000003e-07	2.58e-07	1.76e-07
NWD1-3b_LP-DIR-AF5	NWD1-3b_LP-DIR-AF	NWD1-3b	1.4	131.3	-39.3	0.005	0	0	0	5	273	This study	hargrave 2018-10-06 11:28:07	LT-AF-Z:LP-DIR-AF	g	2608	u	4	273	pmagpy-4.2.17	1.14e-05	1.97e-07	1.53e-07	1.31e-07
NWD1-3b_LP-DIR-AF6	NWD1-3b_LP-DIR-AF	NWD1-3b	1	164.3	-10.7	0.0075	0	0	0	6	273	This study	hargrave 2018-10-06 11:29:29	LT-AF-Z:LP-DIR-AF	g	2609	u	4	273	pmagpy-4.2.17	4.26e-06	2.97e-08	5.3600000000000005e-09	7.56e-08
NWD1-3b_LP-DIR-AF7	NWD1-3b_LP-DIR-AF	NWD1-3b	1.4	189.2	19.8	0.01	0	0	0	7	273	This study	hargrave 2018-10-06 11:31:40	LT-AF-Z:LP-DIR-AF	g	2610	u	4	273	pmagpy-4.2.17	3.46e-06	4.77e-08	3.74e-08	6.92e-08
NWD1-3b_LP-DIR-AF8	NWD1-3b_LP-DIR-AF	NWD1-3b	1.6	196.2	28.1	0.0125	0	0	0	8	273	This study	hargrave 2018-10-06 11:33:51	LT-AF-Z:LP-DIR-AF	g	2611	u	4	273	pmagpy-4.2.17	3.31e-06	5.5e-08	4.33e-08	6.34e-08
NWD1-3b_LP-DIR-AF9	NWD1-3b_LP-DIR-AF	NWD1-3b	1.6	197.8	30.6	0.015	0	0	0	9	273	This study	hargrave 2018-10-06 11:35:16	LT-AF-Z:LP-DIR-AF	g	2612	u	4	273	pmagpy-4.2.17	2.99e-06	5.04e-08	4.18e-08	6.070000000000001e-08
NWD1-3b_LP-DIR-AF10	NWD1-3b_LP-DIR-AF	NWD1-3b	1.6	196.7	30.7	0.0175	0	0	0	10	273	This study	hargrave 2018-10-06 11:37:31	LT-AF-Z:LP-DIR-AF	g	2613	u	4	273	pmagpy-4.2.17	2.59e-06	4.51e-08	3.59e-08	4.98e-08
NWD1-3b_LP-DIR-AF11	NWD1-3b_LP-DIR-AF	NWD1-3b	1.5	195.5	29.6	0.02	0	0	0	11	273	This study	hargrave 2018-10-06 11:38:55	LT-AF-Z:LP-DIR-AF	g	2614	u	4	273	pmagpy-4.2.17	2.15e-06	3.47e-08	2.45e-08	4.08e-08
NWD1-3b_LP-DIR-AF12	NWD1-3b_LP-DIR-AF	NWD1-3b	1.7	194.3	28.5	0.0225	0	0	0	12	273	This study	hargrave 2018-10-06 11:40:16	LT-AF-Z:LP-DIR-AF	g	2615	u	4	273	pmagpy-4.2.17	1.77e-06	2.73e-08	2.18e-08	4e-08
NWD1-3b_LP-DIR-AF13	NWD1-3b_LP-DIR-AF	NWD1-3b	1.5	191.8	26	0.025	0	0	0	13	273	This study	hargrave 2018-10-06 11:41:38	LT-AF-Z:LP-DIR-AF	g	2616	u	4	273	pmagpy-4.2.17	1.44e-06	2.09e-08	1.62e-08	2.81e-08
NWD1-3b_LP-DIR-AF14	NWD1-3b_LP-DIR-AF	NWD1-3b	1.4	188.7	24.2	0.0275	0	0	0	14	273	This study	hargrave 2018-10-06 11:42:59	LT-AF-Z:LP-DIR-AF	g	2617	u	4	273	pmagpy-4.2.17	1.18e-06	1.62e-08	1.24e-08	2.31e-08
NWD1-3b_LP-DIR-AF15	NWD1-3b_LP-DIR-AF	NWD1-3b	1.4	185.6	22.2	0.03	0	0	0	15	273	This study	hargrave 2018-10-06 11:44:19	LT-AF-Z:LP-DIR-AF	g	2618	u	4	273	pmagpy-4.2.17	9.99e-07	1.24e-08	9.39e-09	1.95e-08
NWD1-3b_LP-DIR-AF16	NWD1-3b_LP-DIR-AF	NWD1-3b	1.2	179.1	11.1	0.035	0	0	0	16	273	This study	hargrave 2018-10-06 11:45:40	LT-AF-Z:LP-DIR-AF	g	2619	u	4	273	pmagpy-4.2.17	7.87e-07	6.67e-09	4.15e-09	1.52e-08
NWD1-3b_LP-DIR-AF17	NWD1-3b_LP-DIR-AF	NWD1-3b	1.1	174.1	1.1	0.04	0	0	0	17	273	This study	hargrave 2018-10-06 11:47:04	LT-AF-Z:LP-DIR-AF	g	2620	u	4	273	pmagpy-4.2.17	6.87e-07	5.07e-09	2.7e-09	1.35e-08
NWD1-3b_LP-DIR-AF18	NWD1-3b_LP-DIR-AF	NWD1-3b	1.1	172.0	-14.6	0.045	0	0	0	18	273	This study	hargrave 2018-10-06 11:48:25	LT-AF-Z:LP-DIR-AF	g	2621	u	4	273	pmagpy-4.2.17	6.65e-07	6.7e-09	3.829999999999999e-09	1.16e-08
NWD1-3b_LP-DIR-AF19	NWD1-3b_LP-DIR-AF	NWD1-3b	1.2	169.8	-25.1	0.05	0	0	0	19	273	This study	hargrave 2018-10-06 11:49:46	LT-AF-Z:LP-DIR-AF	g	2622	u	4	273	pmagpy-4.2.17	6.790000000000001e-07	9.95e-09	6.6e-09	1.04e-08
NWD1-3b_LP-DIR-AF20	NWD1-3b_LP-DIR-AF	NWD1-3b	1.3	169.6	-33.9	0.055	0	0	0	20	273	This study	hargrave 2018-10-06 11:51:06	LT-AF-Z:LP-DIR-AF	g	2623	u	4	273	pmagpy-4.2.17	7.240000000000002e-07	1.25e-08	8.15e-09	9.57e-09
NWD1-3b_LP-DIR-AF21	NWD1-3b_LP-DIR-AF	NWD1-3b	1.4	166.6	-39.5	0.06	0	0	0	21	273	This study	hargrave 2018-10-06 11:52:27	LT-AF-Z:LP-DIR-AF	g	2624	u	4	273	pmagpy-4.2.17	7.47e-07	1.42e-08	9.97e-09	8.390000000000001e-09
NWD1-3b_LP-DIR-AF22	NWD1-3b_LP-DIR-AF	NWD1-3b	1.5	169.5	-42.5	0.065	0	0	0	22	273	This study	hargrave 2018-10-06 11:53:49	LT-AF-Z:LP-DIR-AF	g	2625	u	4	273	pmagpy-4.2.17	7.809999999999998e-07	1.59e-08	1.15e-08	9.02e-09
NWD1-3b_LP-DIR-AF23	NWD1-3b_LP-DIR-AF	NWD1-3b	1.6	165.0	-44.8	0.07	0	0	0	23	273	This study	hargrave 2018-10-06 11:55:10	LT-AF-Z:LP-DIR-AF	g	2626	u	4	273	pmagpy-4.2.17	7.729999999999998e-07	1.67e-08	1.2e-08	8.18e-09
NWD1-3b_LP-DIR-AF24	NWD1-3b_LP-DIR-AF	NWD1-3b	1.6	167.2	-47.5	0.075	0	0	0	24	273	This study	hargrave 2018-10-06 11:56:31	LT-AF-Z:LP-DIR-AF	g	2627	u	4	273	pmagpy-4.2.17	7.78e-07	1.69e-08	1.26e-08	7.6e-09
NWD1-3b_LP-DIR-AF25	NWD1-3b_LP-DIR-AF	NWD1-3b	1.6	165.6	-48.6	0.08	0	0	0	25	273	This study	hargrave 2018-10-06 11:57:52	LT-AF-Z:LP-DIR-AF	g	2628	u	4	273	pmagpy-4.2.17	7.85e-07	1.71e-08	1.27e-08	7.72e-09
NWD1-3b_LP-DIR-AF26	NWD1-3b_LP-DIR-AF	NWD1-3b	1.5	161.8	-50.9	0.09	0	0	0	26	273	This study	hargrave 2018-10-06 11:59:13	LT-AF-Z:LP-DIR-AF	g	2629	u	4	273	pmagpy-4.2.17	7.47e-07	1.6399999999999998e-08	1.21e-08	5.489999999999999e-09
NWD1-3b_LP-DIR-AF27	NWD1-3b_LP-DIR-AF	NWD1-3b	1.6	161.7	-51	0.1	0	0	0	27	273	This study	hargrave 2018-10-06 12:00:34	LT-AF-Z:LP-DIR-AF	g	2630	u	4	273	pmagpy-4.2.17	7.47e-07	1.66e-08	1.25e-08	6.720000000000002e-09
NWD1-3b_LP-DIR-AF28	NWD1-3b_LP-DIR-AF	NWD1-3b	1.6	161.1	-51.2	0.11	0	0	0	28	273	This study	hargrave 2018-10-06 12:01:56	LT-AF-Z:LP-DIR-AF	g	2631	u	4	273	pmagpy-4.2.17	7.420000000000002e-07	1.7e-08	1.19e-08	5.93e-09
NWD1-3b_LP-DIR-AF29	NWD1-3b_LP-DIR-AF	NWD1-3b	1.7	160.6	-52.8	0.12	0	0	0	29	273	This study	hargrave 2018-10-06 12:03:22	LT-AF-Z:LP-DIR-AF	g	2632	u	4	273	pmagpy-4.2.17	7.12e-07	1.69e-08	1.27e-08	5.73e-09
NWD1-3b_LP-DIR-AF30	NWD1-3b_LP-DIR-AF	NWD1-3b	1.7	161.1	-49.7	0.13	0	0	0	30	273	This study	hargrave 2018-10-06 12:04:46	LT-AF-Z:LP-DIR-AF	g	2633	u	4	273	pmagpy-4.2.17	6.84e-07	1.5e-08	1.42e-08	5.3e-09
NWD1-4b_LP-DIR-AF0	NWD1-4b_LP-DIR-AF	NWD1-4b	6	91.9	-35	0	0	0	0	0	273	This study	hargrave 2018-10-06 12:06:26	LT-NO:LP-DIR-AF	g	2634	u	4	273	pmagpy-4.2.17	7.63e-05	5.83e-06	8.49e-06	3.37e-06
NWD1-4b_LP-DIR-AF1	NWD1-4b_LP-DIR-AF	NWD1-4b	5.8	93.2	-34.8	0.001	0	0	0	1	273	This study	hargrave 2018-10-06 12:07:53	LT-AF-Z:LP-DIR-AF	g	2635	u	4	273	pmagpy-4.2.17	7.62e-05	6.44e-06	6.86e-06	3.35e-06
NWD1-4b_LP-DIR-AF2	NWD1-4b_LP-DIR-AF	NWD1-4b	5.8	91.1	-35.4	0.002	0	0	0	2	273	This study	hargrave 2018-10-06 12:09:13	LT-AF-Z:LP-DIR-AF	g	2636	u	4	273	pmagpy-4.2.17	7.48e-05	5.400000000000002e-06	7.74e-06	3.48e-06
NWD1-4b_LP-DIR-AF3	NWD1-4b_LP-DIR-AF	NWD1-4b	4.9	91.8	-36.5	0.003	0	0	0	3	273	This study	hargrave 2018-10-06 12:10:37	LT-AF-Z:LP-DIR-AF	g	2637	u	4	273	pmagpy-4.2.17	7.15e-05	4.43e-06	6.49e-06	3.05e-06
NWD1-4b_LP-DIR-AF4	NWD1-4b_LP-DIR-AF	NWD1-4b	2.4	93.2	-37.9	0.004	0	0	0	4	273	This study	hargrave 2018-10-06 12:11:58	LT-AF-Z:LP-DIR-AF	g	2638	u	4	273	pmagpy-4.2.17	6.39e-05	1.98e-06	3.17e-06	1.46e-06
NWD1-4b_LP-DIR-AF5	NWD1-4b_LP-DIR-AF	NWD1-4b	0.8	94.2	-38.8	0.005	0	0	0	5	273	This study	hargrave 2018-10-06 12:13:22	LT-AF-Z:LP-DIR-AF	g	2639	u	4	273	pmagpy-4.2.17	5.570000000000001e-05	4.33e-07	6.7e-07	5.78e-07
NWD1-4b_LP-DIR-AF6	NWD1-4b_LP-DIR-AF	NWD1-4b	1.3	99.2	-38.8	0.0075	0	0	0	6	273	This study	hargrave 2018-10-06 12:14:46	LT-AF-Z:LP-DIR-AF	g	2640	u	4	273	pmagpy-4.2.17	3.09e-05	4.68e-07	3.54e-07	3.67e-07
NWD1-4b_LP-DIR-AF7	NWD1-4b_LP-DIR-AF	NWD1-4b	1.1	107.1	-37.8	0.01	0	0	0	7	273	This study	hargrave 2018-10-06 12:16:07	LT-AF-Z:LP-DIR-AF	g	2641	u	4	273	pmagpy-4.2.17	1.6899999999999994e-05	2.2e-07	1.34e-07	2.49e-07
NWD1-4b_LP-DIR-AF8	NWD1-4b_LP-DIR-AF	NWD1-4b	1.2	114.2	-35.4	0.0125	0	0	0	8	273	This study	hargrave 2018-10-06 12:18:21	LT-AF-Z:LP-DIR-AF	g	2642	u	4	273	pmagpy-4.2.17	1.13e-05	1.34e-07	6.75e-08	2.1e-07
NWD1-4b_LP-DIR-AF9	NWD1-4b_LP-DIR-AF	NWD1-4b	1	118.4	-33.4	0.015	0	0	0	9	273	This study	hargrave 2018-10-06 12:19:43	LT-AF-Z:LP-DIR-AF	g	2643	u	4	273	pmagpy-4.2.17	8.76e-06	7.75e-08	4.66e-08	1.67e-07
NWD1-4b_LP-DIR-AF10	NWD1-4b_LP-DIR-AF	NWD1-4b	1.1	120.3	-32.4	0.0175	0	0	0	10	273	This study	hargrave 2018-10-06 12:21:03	LT-AF-Z:LP-DIR-AF	g	2644	u	4	273	pmagpy-4.2.17	7.39e-06	5.96e-08	4.3e-08	1.54e-07
NWD1-4b_LP-DIR-AF11	NWD1-4b_LP-DIR-AF	NWD1-4b	1	120.3	-32.2	0.02	0	0	0	11	273	This study	hargrave 2018-10-06 12:22:24	LT-AF-Z:LP-DIR-AF	g	2645	u	4	273	pmagpy-4.2.17	6.46e-06	5.08e-08	4.01e-08	1.33e-07
NWD1-4b_LP-DIR-AF12	NWD1-4b_LP-DIR-AF	NWD1-4b	1	119.5	-32.2	0.0225	0	0	0	12	273	This study	hargrave 2018-10-06 12:23:45	LT-AF-Z:LP-DIR-AF	g	2646	u	4	273	pmagpy-4.2.17	5.79e-06	4.45e-08	3.73e-08	1.2199999999999998e-07
NWD1-4b_LP-DIR-AF13	NWD1-4b_LP-DIR-AF	NWD1-4b	1.1	118.2	-32.7	0.025	0	0	0	13	273	This study	hargrave 2018-10-06 12:25:09	LT-AF-Z:LP-DIR-AF	g	2647	u	4	273	pmagpy-4.2.17	5.32e-06	5.08e-08	2.93e-08	1.14e-07
NWD1-4b_LP-DIR-AF14	NWD1-4b_LP-DIR-AF	NWD1-4b	1	117.0	-33.2	0.0275	0	0	0	14	273	This study	hargrave 2018-10-06 12:26:30	LT-AF-Z:LP-DIR-AF	g	2648	u	4	273	pmagpy-4.2.17	4.92e-06	3.93e-08	3.23e-08	1.06e-07
NWD1-4b_LP-DIR-AF15	NWD1-4b_LP-DIR-AF	NWD1-4b	1	115.4	-33.5	0.03	0	0	0	15	273	This study	hargrave 2018-10-06 12:27:51	LT-AF-Z:LP-DIR-AF	g	2649	u	4	273	pmagpy-4.2.17	4.6e-06	3.56e-08	3.02e-08	9.91e-08
NWD1-4b_LP-DIR-AF16	NWD1-4b_LP-DIR-AF	NWD1-4b	1.1	113.7	-34.7	0.035	0	0	0	16	273	This study	hargrave 2018-10-06 12:29:15	LT-AF-Z:LP-DIR-AF	g	2650	u	4	273	pmagpy-4.2.17	4.2000000000000004e-06	4.42e-08	2.24e-08	9e-08
NWD1-4b_LP-DIR-AF17	NWD1-4b_LP-DIR-AF	NWD1-4b	1	112.9	-36.4	0.04	0	0	0	17	273	This study	hargrave 2018-10-06 12:30:36	LT-AF-Z:LP-DIR-AF	g	2651	u	4	273	pmagpy-4.2.17	3.92e-06	3.68e-08	2.28e-08	8.220000000000001e-08
NWD1-4b_LP-DIR-AF18	NWD1-4b_LP-DIR-AF	NWD1-4b	1	112.6	-37.8	0.045	0	0	0	18	273	This study	hargrave 2018-10-06 12:31:56	LT-AF-Z:LP-DIR-AF	g	2652	u	4	273	pmagpy-4.2.17	3.68e-06	3.64e-08	1.97e-08	7.52e-08
NWD1-4b_LP-DIR-AF19	NWD1-4b_LP-DIR-AF	NWD1-4b	1.1	113.1	-39.4	0.05	0	0	0	19	273	This study	hargrave 2018-10-06 12:33:20	LT-AF-Z:LP-DIR-AF	g	2653	u	4	273	pmagpy-4.2.17	3.48e-06	4.38e-08	1.47e-08	7.019999999999999e-08
NWD1-4b_LP-DIR-AF20	NWD1-4b_LP-DIR-AF	NWD1-4b	1	113.3	-40.3	0.055	0	0	0	20	273	This study	hargrave 2018-10-06 12:34:41	LT-AF-Z:LP-DIR-AF	g	2654	u	4	273	pmagpy-4.2.17	3.26e-06	3.61e-08	1.7e-08	6.46e-08
NWD1-4b_LP-DIR-AF21	NWD1-4b_LP-DIR-AF	NWD1-4b	1.1	114.3	-41.1	0.06	0	0	0	21	273	This study	hargrave 2018-10-06 12:36:02	LT-AF-Z:LP-DIR-AF	g	2655	u	4	273	pmagpy-4.2.17	3.09e-06	3.71e-08	1.6e-08	5.96e-08
NWD1-4b_LP-DIR-AF22	NWD1-4b_LP-DIR-AF	NWD1-4b	1.1	115.2	-41.8	0.065	0	0	0	22	273	This study	hargrave 2018-10-06 12:37:22	LT-AF-Z:LP-DIR-AF	g	2656	u	4	273	pmagpy-4.2.17	2.87e-06	3.61e-08	1.5e-08	5.49e-08
NWD1-4b_LP-DIR-AF23	NWD1-4b_LP-DIR-AF	NWD1-4b	1.1	115.6	-42	0.07	0	0	0	23	273	This study	hargrave 2018-10-06 12:38:43	LT-AF-Z:LP-DIR-AF	g	2657	u	4	273	pmagpy-4.2.17	2.68e-06	3.43e-08	1.39e-08	5.0199999999999986e-08
NWD1-4b_LP-DIR-AF24	NWD1-4b_LP-DIR-AF	NWD1-4b	1.2	117.2	-42.7	0.075	0	0	0	24	273	This study	hargrave 2018-10-06 12:40:54	LT-AF-Z:LP-DIR-AF	g	2658	u	4	273	pmagpy-4.2.17	2.48e-06	3.49e-08	1.33e-08	4.79e-08
NWD1-4b_LP-DIR-AF25	NWD1-4b_LP-DIR-AF	NWD1-4b	1.1	117.9	-43.2	0.08	0	0	0	25	273	This study	hargrave 2018-10-06 12:42:18	LT-AF-Z:LP-DIR-AF	g	2659	u	4	273	pmagpy-4.2.17	2.28e-06	3.0499999999999995e-08	1.2e-08	4.18e-08
NWD1-4b_LP-DIR-AF26	NWD1-4b_LP-DIR-AF	NWD1-4b	1.1	120.5	-44.3	0.09	0	0	0	26	273	This study	hargrave 2018-10-06 12:43:39	LT-AF-Z:LP-DIR-AF	g	2660	u	4	273	pmagpy-4.2.17	1.93e-06	2.7e-08	1.1100000000000002e-08	3.36e-08
