tab	specimens																							
specimen	experiments	sample	dir_alpha95	dir_comp	dir_dec	dir_inc	dir_n_comps	dir_n_measurements	dir_tilt_correction	dir_dang	dir_mad_free	meas_step_max	meas_step_min	meas_step_unit	instrument_codes	software_packages	int_corr	citations	method_codes	result_quality	volume	weight	location	site
NED16-4b		NED16-4																This study	LP-NOMAG				ECMB	NED16
NED16-5b	NED16-5b_LP-DIR-AF	NED16-5		lc	169.6	19	2	4	-1	22.4	2.1	0.0075	0.003	T	hargrave 2018-11-03 06:09:17	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g			ECMB	NED16
NED16-5b	NED16-5b_LP-DIR-AF	NED16-5		mc	64.4	88.1	2	6	-1	4.1	2.2	0.05	0.0275	T	hargrave 2018-11-03 06:09:17	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g			ECMB	NED16
NED16-5b	NED16-5b_LP-DIR-AF	NED16-5		lc	337.7	28.8	2	4	0	22.4	2.1	0.0075	0.003	T	hargrave 2018-11-03 06:09:17	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g			ECMB	NED16
NED16-5b	NED16-5b_LP-DIR-AF	NED16-5		mc	178.1	79	2	6	0	4.1	2.2	0.05	0.0275	T	hargrave 2018-11-03 06:09:17	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g			ECMB	NED16
NED16-5b		NED16-5																This study	LP-NOMAG				ECMB	NED16
NED16-6b	NED16-6b_LP-DIR-AF	NED16-6		lc	223.4	6.5	1	4	-1	21.3	2.1	0.0075	0.003	T	hargrave 2018-11-03 06:53:13	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g			ECMB	NED16
NED16-6b	NED16-6b_LP-DIR-AF	NED16-6		lc	332.3	30.4	1	4	0	21.3	2.1	0.0075	0.003	T	hargrave 2018-11-03 06:53:13	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g			ECMB	NED16
NED16-6b		NED16-6																This study	LP-NOMAG				ECMB	NED16
NED16-7b	NED16-7b_LP-DIR-AF	NED16-7		lc	221	11.7	1	4	-1	18.5	1.7	0.0075	0.003	T	hargrave 2018-11-03 07:36:12	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g			ECMB	NED16
NED16-7b	NED16-7b_LP-DIR-AF	NED16-7		lc	332.7	36.2	1	4	0	18.5	1.7	0.0075	0.003	T	hargrave 2018-11-03 07:36:12	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g			ECMB	NED16
NED16-7b		NED16-7																This study	LP-NOMAG				ECMB	NED16
NED16-8b	NED16-8b_LP-DIR-AF	NED16-8		mc	157.9	80.3	2	5	-1	11.9	3	0.06	0.04	T	hargrave 2018-11-03 11:32:52	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g			ECMB	NED16
NED16-8b	NED16-8b_LP-DIR-AF	NED16-8		lc	175.6	13.3	2	4	-1	21.9	2.3	0.0075	0.003	T	hargrave 2018-11-03 11:32:52	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g			ECMB	NED16
NED16-8b	NED16-8b_LP-DIR-AF	NED16-8		lc	330.2	29.2	2	4	0	21.9	2.3	0.0075	0.003	T	hargrave 2018-11-03 11:32:52	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g			ECMB	NED16
NED16-8b	NED16-8b_LP-DIR-AF	NED16-8		mc	182.9	82.1	2	5	0	11.9	3	0.06	0.04	T	hargrave 2018-11-03 11:32:52	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g			ECMB	NED16
NED16-8b		NED16-8																This study	LP-NOMAG				ECMB	NED16
NED17-10a	NED17-10a_LP-DIR-T	NED17-10		lt	128.1	5.7	2	8	-1	61.8	17.8	723	423	K	hargrave 2019-01-18 13:33:25	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			ECMB	NED17
NED17-10a	NED17-10a_LP-DIR-T	NED17-10		mt	193	17.8	2	8	-1	1.8	1.3	823	748	K	hargrave 2019-01-18 13:33:25	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			ECMB	NED17
NED17-10a	NED17-10a_LP-DIR-T	NED17-10		mt	152.3	71.2	2	8	0	1.8	1.3	823	748	K	hargrave 2019-01-18 13:33:25	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			ECMB	NED17
NED17-10a	NED17-10a_LP-DIR-T	NED17-10		lt	279.8	38.3	2	8	0	61.8	17.8	723	423	K	hargrave 2019-01-18 13:33:25	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			ECMB	NED17
NED17-10a		NED17-10																This study	LP-NOMAG				ECMB	NED17
NED17-10b	NED17-10b_LP-DIR-AF	NED17-10		llc	161.3	13.1	2	5	-1	26.5	2.8	0.0175	0.0075	T	hargrave 2018-10-07 02:05:26	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g			ECMB	NED17
NED17-10b	NED17-10b_LP-DIR-AF	NED17-10		mc	193	17.2	2	4	-1	1.9	0.6	0.045	0.03	T	hargrave 2018-10-07 02:05:26	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g			ECMB	NED17
NED17-10b	NED17-10b_LP-DIR-AF	NED17-10		llc	256.4	69.4	2	5	0	26.5	2.8	0.0175	0.0075	T	hargrave 2018-10-07 02:05:26	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g			ECMB	NED17
NED17-10b	NED17-10b_LP-DIR-AF	NED17-10		mc	151	71.7	2	4	0	1.9	0.6	0.045	0.03	T	hargrave 2018-10-07 02:05:26	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g			ECMB	NED17
NED17-10b		NED17-10																This study	LP-NOMAG				ECMB	NED17
NED17-11a	NED17-11a_LP-DIR-T	NED17-11		mt	182	34.8	1	5	-1	0.6	1.4	833	813	K	hargrave 2019-01-18 13:35:04	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			ECMB	NED17
NED17-11a	NED17-11a_LP-DIR-T	NED17-11		mt	190.9	78.1	1	5	0	0.6	1.4	833	813	K	hargrave 2019-01-18 13:35:04	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			ECMB	NED17
NED17-11a		NED17-11																This study	LP-NOMAG				ECMB	NED17
NED17-11b	NED17-11b_LP-DIR-AF	NED17-11		llc	167.3	20.3	2	7	-1	19.5	0.1	0.01	0.001	T	hargrave 2018-10-07 02:48:12	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g			ECMB	NED17
NED17-11b	NED17-11b_LP-DIR-AF	NED17-11		mc	185.2	36.3	2	3	-1	4	0.2	0.04	0.03	T	hargrave 2018-10-07 02:48:12	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g			ECMB	NED17
NED17-11b	NED17-11b_LP-DIR-AF	NED17-11		mc	181.5	75.9	2	3	0	4	0.2	0.04	0.03	T	hargrave 2018-10-07 02:48:12	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g			ECMB	NED17
NED17-11b	NED17-11b_LP-DIR-AF	NED17-11		llc	299.3	77.9	2	7	0	19.5	0.1	0.01	0.001	T	hargrave 2018-10-07 02:48:12	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g			ECMB	NED17
NED17-11b		NED17-11																This study	LP-NOMAG				ECMB	NED17
NED17-1a	NED17-1a_LP-DIR-T	NED17-1		mt	178.8	-22.7	2	4	-1	7.6	7.9	823	808	K	hargrave 2019-01-18 13:18:09	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			ECMB	NED17
NED17-1a	NED17-1a_LP-DIR-T	NED17-1		lt	135	1	2	8	-1	22.2	6	788	573	K	hargrave 2019-01-18 13:18:09	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	b			ECMB	NED17
NED17-1a	NED17-1a_LP-DIR-T	NED17-1		mt	5.7	74.3	2	4	0	7.6	7.9	823	808	K	hargrave 2019-01-18 13:18:09	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			ECMB	NED17
NED17-1a	NED17-1a_LP-DIR-T	NED17-1		lt	271.6	44.4	2	8	0	22.2	6	788	573	K	hargrave 2019-01-18 13:18:09	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	b			ECMB	NED17
NED17-1a		NED17-1																This study	LP-NOMAG				ECMB	NED17
NED17-1b	NED17-1b_LP-DIR-AF	NED17-1		mc	117.1	1.9	2	15	-1	3.2	19.1	0.12	0.03	T	hargrave 2018-10-06 19:34:22	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g			ECMB	NED17
NED17-1b	NED17-1b_LP-DIR-AF	NED17-1		lc	201	2.8	2	3	-1	51.6	8.7	0.002	0	T	hargrave 2018-10-06 19:34:22	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g			ECMB	NED17
NED17-1b	NED17-1b_LP-DIR-AF	NED17-1		mc	274.2	26.6	2	15	0	3.2	19.1	0.12	0.03	T	hargrave 2018-10-06 19:34:22	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g			ECMB	NED17
NED17-1b	NED17-1b_LP-DIR-AF	NED17-1		lc	124.4	66.8	2	3	0	51.6	8.7	0.002	0	T	hargrave 2018-10-06 19:34:22	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g			ECMB	NED17
NED17-1b		NED17-1																This study	LP-NOMAG				ECMB	NED17
NED17-2a	NED17-2a_LP-DIR-T	NED17-2		lt	137.9	-5.2	2	7	-1	21.5	5	788	623	K	hargrave 2019-01-18 13:19:40	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			ECMB	NED17
NED17-2a	NED17-2a_LP-DIR-T	NED17-2		mt	178.8	-20.3	2	6	-1	4.2	8.9	833	808	K	hargrave 2019-01-18 13:19:40	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			ECMB	NED17
NED17-2a	NED17-2a_LP-DIR-T	NED17-2		mt	358.4	75.7	2	6	0	4.2	8.9	833	808	K	hargrave 2019-01-18 13:19:40	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			ECMB	NED17
NED17-2a	NED17-2a_LP-DIR-T	NED17-2		lt	274	48.1	2	7	0	21.5	5	788	623	K	hargrave 2019-01-18 13:19:40	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			ECMB	NED17
NED17-2a		NED17-2																This study	LP-NOMAG				ECMB	NED17
NED17-2b	NED17-2b_LP-DIR-AF	NED17-2		mc	115.7	1	3	18	-1	1.6	15.8	0.13	0.025	T	hargrave 2018-10-06 20:17:00	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g			ECMB	NED17
NED17-2b	NED17-2b_LP-DIR-AF	NED17-2		lc	180.3	-21.7	3	5	-1	56.3	9	0.02	0.01	T	hargrave 2018-10-06 20:17:00	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g			ECMB	NED17
NED17-2b	NED17-2b_LP-DIR-AF	NED17-2		llc	194.3	-14	3	4	-1	43.5	1.9	0.003	0	T	hargrave 2018-10-06 20:17:00	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g			ECMB	NED17
NED17-2b	NED17-2b_LP-DIR-AF	NED17-2		llc	62	73.8	3	4	0	43.5	1.9	0.003	0	T	hargrave 2018-10-06 20:17:00	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g			ECMB	NED17
NED17-2b	NED17-2b_LP-DIR-AF	NED17-2		lc	3.8	74.3	3	5	0	56.3	9	0.02	0.01	T	hargrave 2018-10-06 20:17:00	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g			ECMB	NED17
NED17-2b	NED17-2b_LP-DIR-AF	NED17-2		mc	268.9	25.4	3	18	0	1.6	15.8	0.13	0.025	T	hargrave 2018-10-06 20:17:00	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g			ECMB	NED17
NED17-2b		NED17-2																This study	LP-NOMAG				ECMB	NED17
NED17-3a	NED17-3a_LP-DIR-T	NED17-3		lt	145.2	0.9	2	3	-1	25.9	5.4	623	523	K	hargrave 2019-01-18 13:21:09	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			ECMB	NED17
NED17-3a	NED17-3a_LP-DIR-T	NED17-3		mt	175.6	-3.7	2	7	-1	1.8	3.4	823	773	K	hargrave 2019-01-18 13:21:09	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			ECMB	NED17
NED17-3a	NED17-3a_LP-DIR-T	NED17-3		lt	277.8	54	2	3	0	25.9	5.4	623	523	K	hargrave 2019-01-18 13:21:09	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			ECMB	NED17
NED17-3a	NED17-3a_LP-DIR-T	NED17-3		mt	337.1	74.6	2	7	0	1.8	3.4	823	773	K	hargrave 2019-01-18 13:21:09	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			ECMB	NED17
NED17-3a		NED17-3																This study	LP-NOMAG				ECMB	NED17
NED17-3b	NED17-3b_LP-DIR-AF	NED17-3		lc	166.2	-3.8	3	4	-1	0.2	1.9	0.0125	0.005	T	hargrave 2018-10-06 21:00:48	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g			ECMB	NED17
NED17-3b	NED17-3b_LP-DIR-AF	NED17-3		llc	180.1	10	3	5	-1	18.1	3.1	0.005	0.001	T	hargrave 2018-10-06 21:00:48	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g			ECMB	NED17
NED17-3b	NED17-3b_LP-DIR-AF	NED17-3		mc	171.2	-6.1	3	5	-1	17.2	4.3	0.025	0.015	T	hargrave 2018-10-06 21:00:48	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g			ECMB	NED17
NED17-3b	NED17-3b_LP-DIR-AF	NED17-3		mc	326.2	70.8	3	5	0	17.2	4.3	0.025	0.015	T	hargrave 2018-10-06 21:00:48	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g			ECMB	NED17
NED17-3b	NED17-3b_LP-DIR-AF	NED17-3		llc	1.2	89	3	5	0	18.1	3.1	0.005	0.001	T	hargrave 2018-10-06 21:00:48	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g			ECMB	NED17
NED17-3b	NED17-3b_LP-DIR-AF	NED17-3		lc	310.5	69.8	3	4	0	0.2	1.9	0.0125	0.005	T	hargrave 2018-10-06 21:00:48	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g			ECMB	NED17
NED17-3b		NED17-3																This study	LP-NOMAG				ECMB	NED17
NED17-4a	NED17-4a_LP-DIR-T	NED17-4		mt	184.8	-10	2	9	-1	1.3	2.4	833	773	K	hargrave 2019-01-18 13:22:37	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			ECMB	NED17
NED17-4a	NED17-4a_LP-DIR-T	NED17-4		lt	135.5	-6.2	2	4	-1	41.8	12.6	623	473	K	hargrave 2019-01-18 13:22:37	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			ECMB	NED17
NED17-4a	NED17-4a_LP-DIR-T	NED17-4		mt	355.7	68.5	2	9	0	1.3	2.4	833	773	K	hargrave 2019-01-18 13:22:37	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			ECMB	NED17
NED17-4a	NED17-4a_LP-DIR-T	NED17-4		lt	272	42.5	2	4	0	41.8	12.6	623	473	K	hargrave 2019-01-18 13:22:37	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			ECMB	NED17
NED17-4a		NED17-4																This study	LP-NOMAG				ECMB	NED17
NED17-4b	NED17-4b_LP-DIR-AF	NED17-4		mc	184.4	-10.3	3	5	-1	25.7	3.4	0.025	0.015	T	hargrave 2018-10-06 21:44:11	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g			ECMB	NED17
NED17-4b	NED17-4b_LP-DIR-AF	NED17-4		llc	177.6	2	3	5	-1	12.1	4.4	0.005	0.001	T	hargrave 2018-10-06 21:44:11	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g			ECMB	NED17
NED17-4b	NED17-4b_LP-DIR-AF	NED17-4		hc	122.2	-46.6	3	10	-1	32.5	34.9	0.12	0.055	T	hargrave 2018-10-06 21:44:11	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g			ECMB	NED17
NED17-4b	NED17-4b_LP-DIR-AF	NED17-4		mc	354.6	68.3	3	5	0	25.7	3.4	0.025	0.015	T	hargrave 2018-10-06 21:44:11	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g			ECMB	NED17
NED17-4b	NED17-4b_LP-DIR-AF	NED17-4		llc	328	80.6	3	5	0	12.1	4.4	0.005	0.001	T	hargrave 2018-10-06 21:44:11	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g			ECMB	NED17
NED17-4b	NED17-4b_LP-DIR-AF	NED17-4		hc	306.3	12.7	3	10	0	32.5	34.9	0.12	0.055	T	hargrave 2018-10-06 21:44:11	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g			ECMB	NED17
NED17-4b		NED17-4																This study	LP-NOMAG				ECMB	NED17
NED17-5a	NED17-5a_LP-DIR-T	NED17-5		mt	191	-2.9	2	8	-1	1.5	3.4	833	788	K	hargrave 2019-01-18 13:24:07	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			ECMB	NED17
NED17-5a	NED17-5a_LP-DIR-T	NED17-5		lt	152.3	-9	2	8	-1	32.2	17.6	748	473	K	hargrave 2019-01-18 13:24:07	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			ECMB	NED17
NED17-5a	NED17-5a_LP-DIR-T	NED17-5		lt	268	55.4	2	8	0	32.2	17.6	748	473	K	hargrave 2019-01-18 13:24:07	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			ECMB	NED17
NED17-5a	NED17-5a_LP-DIR-T	NED17-5		mt	359	71.5	2	8	0	1.5	3.4	833	788	K	hargrave 2019-01-18 13:24:07	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			ECMB	NED17
NED17-5a		NED17-5																This study	LP-NOMAG				ECMB	NED17
NED17-5b	NED17-5b_LP-DIR-AF	NED17-5		mc	196.7	-3.5	2	5	-1	7	0.9	0.025	0.015	T	hargrave 2018-10-06 22:26:48	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g			ECMB	NED17
NED17-5b	NED17-5b_LP-DIR-AF	NED17-5		llc	198.3	13.2	2	3	-1	22.4	5.4	0.003	0.001	T	hargrave 2018-10-06 22:26:48	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g			ECMB	NED17
NED17-5b	NED17-5b_LP-DIR-AF	NED17-5		llc	57.7	72.1	2	3	0	22.4	5.4	0.003	0.001	T	hargrave 2018-10-06 22:26:48	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g			ECMB	NED17
NED17-5b	NED17-5b_LP-DIR-AF	NED17-5		mc	9.9	67.3	2	5	0	7	0.9	0.025	0.015	T	hargrave 2018-10-06 22:26:48	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g			ECMB	NED17
NED17-5b		NED17-5																This study	LP-NOMAG				ECMB	NED17
NED17-6a	NED17-6a_LP-DIR-T	NED17-6		lt	158.7	-17.1	2	7	-1	28.1	7.4	723	473	K	hargrave 2019-01-18 13:25:52	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			ECMB	NED17
NED17-6a	NED17-6a_LP-DIR-T	NED17-6		mt	192.5	-8.2	2	8	-1	1.6	1.8	833	788	K	hargrave 2019-01-18 13:25:52	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			ECMB	NED17
NED17-6a	NED17-6a_LP-DIR-T	NED17-6		lt	281	57.2	2	7	0	28.1	7.4	723	473	K	hargrave 2019-01-18 13:25:52	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			ECMB	NED17
NED17-6a	NED17-6a_LP-DIR-T	NED17-6		mt	358.7	69.6	2	8	0	1.6	1.8	833	788	K	hargrave 2019-01-18 13:25:52	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			ECMB	NED17
NED17-6a		NED17-6																This study	LP-NOMAG				ECMB	NED17
NED17-6b	NED17-6b_LP-DIR-AF	NED17-6		mc	194.6	-6.3	3	4	-1	8.5	1.9	0.02	0.0125	T	hargrave 2018-10-06 23:11:01	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g			ECMB	NED17
NED17-6b	NED17-6b_LP-DIR-AF	NED17-6		llc	191.6	5.4	3	3	-1	16.9	3	0.002	0	T	hargrave 2018-10-06 23:11:01	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g			ECMB	NED17
NED17-6b	NED17-6b_LP-DIR-AF	NED17-6		hc	169.1	-23.9	3	15	-1	54	28.8	0.13	0.035	T	hargrave 2018-10-06 23:11:01	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g			ECMB	NED17
NED17-6b	NED17-6b_LP-DIR-AF	NED17-6		hc	302.7	56.4	3	15	0	54	28.8	0.13	0.035	T	hargrave 2018-10-06 23:11:01	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g			ECMB	NED17
NED17-6b	NED17-6b_LP-DIR-AF	NED17-6		mc	6.8	69.6	3	4	0	8.5	1.9	0.02	0.0125	T	hargrave 2018-10-06 23:11:01	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g			ECMB	NED17
NED17-6b	NED17-6b_LP-DIR-AF	NED17-6		llc	38.7	78.2	3	3	0	16.9	3	0.002	0	T	hargrave 2018-10-06 23:11:01	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g			ECMB	NED17
NED17-6b		NED17-6																This study	LP-NOMAG				ECMB	NED17
NED17-7a	NED17-7a_LP-DIR-T	NED17-7		lt	112.7	26.1	2	7	-1	53.8	8.5	748	523	K	hargrave 2019-01-18 13:59:28	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			ECMB	NED17
NED17-7a	NED17-7a_LP-DIR-T	NED17-7		mt	178.7	6	2	7	-1	2.6	1.7	833	803	K	hargrave 2019-01-18 13:59:28	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			ECMB	NED17
NED17-7a	NED17-7a_LP-DIR-T	NED17-7		mt	18.6	67	2	7	0	2.6	1.7	833	803	K	hargrave 2019-01-18 13:59:28	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			ECMB	NED17
NED17-7a	NED17-7a_LP-DIR-T	NED17-7		lt	277.2	31.1	2	7	0	53.8	8.5	748	523	K	hargrave 2019-01-18 13:59:28	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			ECMB	NED17
NED17-7a		NED17-7																This study	LP-NOMAG				ECMB	NED17
NED17-7b	NED17-7b_LP-DIR-AF	NED17-7		hc	131.9	-5.2	4	8	-1	34.6	31.9	0.13	0.07	T	hargrave 2018-10-06 23:53:22	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g			ECMB	NED17
NED17-7b	NED17-7b_LP-DIR-AF	NED17-7		llc	176	18.9	4	4	-1	17.4	5.4	0.003	0	T	hargrave 2018-10-06 23:53:22	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g			ECMB	NED17
NED17-7b	NED17-7b_LP-DIR-AF	NED17-7		mc	171.7	10.5	4	3	-1	6.3	0.9	0.045	0.035	T	hargrave 2018-10-06 23:53:22	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g			ECMB	NED17
NED17-7b	NED17-7b_LP-DIR-AF	NED17-7		lc	129	22.3	4	3	-1	30.9	1.2	0.015	0.01	T	hargrave 2018-10-06 23:53:22	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g			ECMB	NED17
NED17-7b	NED17-7b_LP-DIR-AF	NED17-7		hc	320.3	32.5	4	8	0	34.6	31.9	0.13	0.07	T	hargrave 2018-10-06 23:53:22	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g			ECMB	NED17
NED17-7b	NED17-7b_LP-DIR-AF	NED17-7		lc	288	43.9	4	3	0	30.9	1.2	0.015	0.01	T	hargrave 2018-10-06 23:53:22	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g			ECMB	NED17
NED17-7b	NED17-7b_LP-DIR-AF	NED17-7		mc	357.4	69.9	4	3	0	6.3	0.9	0.045	0.035	T	hargrave 2018-10-06 23:53:22	pmagpy-4.2.25: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g			ECMB	NED17
